"ID";"block";"experience";"STEMContrasts1";"STEMContrasts2";"experienceContrasts";"STEM";"sexContrasts";"nStimuliContrasts1";"nStimuliContrasts2";"typeContrasts";"sex";"nStimuli";"typeOfAlternatives";"hitSum";"incorrectSum";"acc";"accAttempts";"attempts";"fullCorrectTrials";"accScoringSystem"
"id56";"main4";"yes";0;1;1;"nonSTEM";1;-1;-1;-1;"male";8;"paired";21;3;0.875;0.875;24;3;0.5
"id56";"main5";"yes";0;1;1;"nonSTEM";1;0;1;1;"male";4;"mixed";17;5;0.708333333333333;0.772727272727273;20;7;0.583333333333333
"id56";"main6";"yes";0;1;1;"nonSTEM";1;0;1;-1;"male";4;"paired";20;4;0.833333333333333;0.833333333333333;24;8;0.666666666666667
"id125";"main1";"no";0;1;-1;"nonSTEM";1;-1;-1;1;"male";8;"mixed";24;0;1;1;24;6;1
"id125";"main2";"no";0;1;-1;"nonSTEM";1;1;0;1;"male";2;"mixed";22;2;0.916666666666667;0.916666666666667;23;22;0.916666666666667
"id125";"main3";"no";0;1;-1;"nonSTEM";1;-1;-1;-1;"male";8;"paired";23;1;0.958333333333333;0.958333333333333;24;5;0.833333333333333
"id125";"main4";"no";0;1;-1;"nonSTEM";1;1;0;-1;"male";2;"paired";23;1;0.958333333333333;0.958333333333333;24;23;0.958333333333333
"id125";"main5";"no";0;1;-1;"nonSTEM";1;0;1;-1;"male";4;"paired";23;1;0.958333333333333;0.958333333333333;24;11;0.916666666666667
"id125";"main6";"no";0;1;-1;"nonSTEM";1;0;1;1;"male";4;"mixed";21;3;0.875;0.875;24;9;0.75
"id69";"main1";"no";0;1;-1;"nonSTEM";-1;0;1;-1;"female";4;"paired";23;1;0.958333333333333;0.958333333333333;24;11;0.916666666666667
"id69";"main2";"no";0;1;-1;"nonSTEM";-1;-1;-1;1;"female";8;"mixed";16;4;0.666666666666667;0.8;16;4;0.666666666666667
"id69";"main3";"no";0;1;-1;"nonSTEM";-1;-1;-1;-1;"female";8;"paired";24;0;1;1;24;6;1
"id69";"main4";"no";0;1;-1;"nonSTEM";-1;1;0;-1;"female";2;"paired";24;0;1;1;24;24;1
