"ID";"block";"nStimuli";"reactionTime";"typeOfAlternatives";"deg";"type";"modelNumber";"trialNumber";"overallHits";"STEM";"Experience";"sex";"outlier";"sexContrasts";"typeContrasts";"nStimuliContrasts1";"nStimuliContrasts2";"ExperienceContrasts";"STEMContrasts1";"STEMContrasts2"
"id174";"main2";8;18835;"paired";45;"hit";"m4";0.8;127;"nonSTEM";"yes";"male";FALSE;1;-1;-1;-1;1;0;1
"id174";"main2";8;13633;"paired";45;"hit";"m14";1;127;"nonSTEM";"yes";"male";FALSE;1;-1;-1;-1;1;0;1
"id174";"main2";8;22217;"paired";135;"hit";"m8";0.4;127;"nonSTEM";"yes";"male";FALSE;1;-1;-1;-1;1;0;1
"id174";"main2";8;22217;"paired";135;"hit";"m8";0.4;127;"nonSTEM";"yes";"male";FALSE;1;-1;-1;-1;1;0;1
"id174";"main4";2;2916;"mixed";45;"hit";"m12";0.0434782608695652;127;"nonSTEM";"yes";"male";FALSE;1;1;1;0;1;0;1
"id174";"main4";2;4818;"mixed";135;"incorrect";"m8";0.0869565217391304;127;"nonSTEM";"yes";"male";FALSE;1;1;1;0;1;0;1
"id174";"main2";8;13633;"paired";45;"hit";"m14";1;127;"nonSTEM";"yes";"male";FALSE;1;-1;-1;-1;1;0;1
"id174";"main4";2;3083;"mixed";135;"hit";"m8";0.826086956521739;127;"nonSTEM";"yes";"male";FALSE;1;1;1;0;1;0;1
"id174";"main1";2;6984;"paired";45;"hit";"m3";0.217391304347826;127;"nonSTEM";"yes";"male";FALSE;1;-1;1;0;1;0;1
"id174";"main1";2;8733;"paired";45;"hit";"m15";0.260869565217391;127;"nonSTEM";"yes";"male";FALSE;1;-1;1;0;1;0;1
"id174";"main1";2;7383;"paired";135;"hit";"m13";0.304347826086957;127;"nonSTEM";"yes";"male";FALSE;1;-1;1;0;1;0;1
"id174";"main1";2;21984;"paired";135;"incorrect";"m16";0.347826086956522;127;"nonSTEM";"yes";"male";FALSE;1;-1;1;0;1;0;1
"id174";"main1";2;4083;"paired";45;"hit";"m7";0.391304347826087;127;"nonSTEM";"yes";"male";FALSE;1;-1;1;0;1;0;1
"id174";"main2";8;37720;"paired";45;"hit";"m3";0;127;"nonSTEM";"yes";"male";FALSE;1;-1;-1;-1;1;0;1
"id174";"main2";8;37720;"paired";135;"hit";"m3";0;127;"nonSTEM";"yes";"male";FALSE;1;-1;-1;-1;1;0;1
"id174";"main2";8;37720;"paired";135;"hit";"m3";0;127;"nonSTEM";"yes";"male";FALSE;1;-1;-1;-1;1;0;1
"id174";"main2";8;37720;"paired";45;"hit";"m3";0;127;"nonSTEM";"yes";"male";FALSE;1;-1;-1;-1;1;0;1
"id174";"main2";8;17536;"paired";45;"incorrect";"m12";0.2;127;"nonSTEM";"yes";"male";FALSE;1;-1;-1;-1;1;0;1
"id174";"main2";8;17536;"paired";45;"hit";"m12";0.2;127;"nonSTEM";"yes";"male";FALSE;1;-1;-1;-1;1;0;1
"id174";"main4";2;5849;"mixed";90;"hit";"m7";0.130434782608696;127;"nonSTEM";"yes";"male";FALSE;1;1;1;0;1;0;1
"id174";"main1";2;5518;"paired";135;"incorrect";"m6";1;127;"nonSTEM";"yes";"male";FALSE;1;-1;1;0;1;0;1
"id174";"main2";8;40886;"paired";135;"hit";"m7";0.6;127;"nonSTEM";"yes";"male";FALSE;1;-1;-1;-1;1;0;1
"id174";"main5";4;13550;"paired";45;"hit";"m12";0.363636363636364;127;"nonSTEM";"yes";"male";FALSE;1;-1;0;1;1;0;1
"id174";"main4";2;3117;"mixed";90;"hit";"m14";0.217391304347826;127;"nonSTEM";"yes";"male";FALSE;1;1;1;0;1;0;1
"id174";"main4";2;7150;"mixed";90;"hit";"m2";0.260869565217391;127;"nonSTEM";"yes";"male";FALSE;1;1;1;0;1;0;1
"id174";"main4";2;4002;"mixed";45;"hit";"m6";0.304347826086957;127;"nonSTEM";"yes";"male";FALSE;1;1;1;0;1;0;1
"id174";"main4";2;8667;"mixed";180;"incorrect";"m16";0.347826086956522;127;"nonSTEM";"yes";"male";FALSE;1;1;1;0;1;0;1
"id174";"main4";2;7699;"mixed";90;"hit";"m15";0.391304347826087;127;"nonSTEM";"yes";"male";FALSE;1;1;1;0;1;0;1
